cve_municipio,nombre,clave
1,AGUASCALIENTES,1
2,ASIENTOS,1
3,CALVILLO,1
4,COS÷O,1
5,JESÈS MAR÷A,1
6,PABELL‡N DE ARTEAGA,1
7,RINC‡N DE ROMOS,1
8,SAN JOSê DE GRACIA,1
9,TEPEZALµ,1
10,EL LLANO,1
11,SAN FRANCISCO DE LOS ROMO,1
999,NO ESPECIFICADO,1
1,ENSENADA,2
2,MEXICALI,2
3,TECATE,2
4,TIJUANA,2
5,PLAYAS DE ROSARITO,2
999,NO ESPECIFICADO,2
1,COMONDÈ,3
2,MULEGê,3
3,LA PAZ,3
8,LOS CABOS,3
9,LORETO,3
999,NO ESPECIFICADO,3
1,CALKIN÷,4
2,CAMPECHE,4
3,CARMEN,4
4,CHAMPOT‡N,4
5,HECELCHAKµN,4
6,HOPELCHêN,4
7,PALIZADA,4
8,TENABO,4
9,ESCµRCEGA,4
10,CALAKMUL,4
11,CANDELARIA,4
999,NO ESPECIFICADO,4
1,ABASOLO,5
2,ACU•A,5
3,ALLENDE,5
4,ARTEAGA,5
5,CANDELA,5
6,CASTA•OS,5
7,CUATRO CIêNEGAS,5
8,ESCOBEDO,5
9,FRANCISCO I. MADERO,5
10,FRONTERA,5
11,GENERAL CEPEDA,5
12,GUERRERO,5
13,HIDALGO,5
14,JIMêNEZ,5
15,JUµREZ,5
16,LAMADRID,5
17,MATAMOROS,5
18,MONCLOVA,5
19,MORELOS,5
20,MÈZQUIZ,5
21,NADADORES,5
22,NAVA,5
23,OCAMPO,5
24,PARRAS,5
25,PIEDRAS NEGRAS,5
26,PROGRESO,5
27,RAMOS ARIZPE,5
28,SABINAS,5
29,SACRAMENTO,5
30,SALTILLO,5
31,SAN BUENAVENTURA,5
32,SAN JUAN DE SABINAS,5
33,SAN PEDRO,5
34,SIERRA MOJADA,5
35,TORRE‡N,5
36,VIESCA,5
37,VILLA UNI‡N,5
38,ZARAGOZA,5
999,NO ESPECIFICADO,5
1,ARMER÷A,6
2,COLIMA,6
3,COMALA,6
4,COQUIMATLµN,6
5,CUAUHTêMOC,6
6,IXTLAHUACµN,6
7,MANZANILLO,6
8,MINATITLµN,6
9,TECOMµN,6
10,VILLA DE µLVAREZ,6
999,NO ESPECIFICADO,6
1,ACACOYAGUA,7
2,ACALA,7
3,ACAPETAHUA,7
4,ALTAMIRANO,7
5,AMATµN,7
6,AMATENANGO DE LA FRONTERA,7
7,AMATENANGO DEL VALLE,7
8,ANGEL ALBINO CORZO,7
9,ARRIAGA,7
10,BEJUCAL DE OCAMPO,7
11,BELLA VISTA,7
12,BERRIOZµBAL,7
13,BOCHIL,7
14,EL BOSQUE,7
15,CACAHOATµN,7
16,CATAZAJµ,7
17,CINTALAPA,7
18,COAPILLA,7
19,COMITµN DE DOM÷NGUEZ,7
20,LA CONCORDIA,7
21,COPAINALµ,7
22,CHALCHIHUITµN,7
23,CHAMULA,7
24,CHANAL,7
25,CHAPULTENANGO,7
26,CHENALH‡,7
27,CHIAPA DE CORZO,7
28,CHIAPILLA,7
29,CHICOASêN,7
30,CHICOMUSELO,7
31,CHIL‡N,7
32,ESCUINTLA,7
33,FRANCISCO LE‡N,7
34,FRONTERA COMALAPA,7
35,FRONTERA HIDALGO,7
36,LA GRANDEZA,7
37,HUEHUETµN,7
38,HUIXTµN,7
39,HUITIUPµN,7
40,HUIXTLA,7
41,LA INDEPENDENCIA,7
42,IXHUATµN,7
43,IXTACOMITµN,7
44,IXTAPA,7
45,IXTAPANGAJOYA,7
46,JIQUIPILAS,7
47,JITOTOL,7
48,JUµREZ,7
49,LARRµINZAR,7
50,LA LIBERTAD,7
51,MAPASTEPEC,7
52,LAS MARGARITAS,7
53,MAZAPA DE MADERO,7
54,MAZATµN,7
55,METAPA,7
56,MITONTIC,7
57,MOTOZINTLA,7
58,NICOLµS RU÷Z,7
59,OCOSINGO,7
60,OCOTEPEC,7
61,OCOZOCOAUTLA DE ESPINOSA,7
62,OSTUACµN,7
63,OSUMACINTA,7
64,OXCHUC,7
65,PALENQUE,7
66,PANTELH‡,7
67,PANTEPEC,7
68,PICHUCALCO,7
69,PIJIJIAPAN,7
70,EL PORVENIR,7
71,VILLA COMALTITLµN,7
72,PUEBLO NUEVO SOLISTAHUACµN,7
73,RAY‡N,7
74,REFORMA,7
75,LAS ROSAS,7
76,SABANILLA,7
77,SALTO DE AGUA,7
78,SAN CRIST‡BAL DE LAS CASAS,7
79,SAN FERNANDO,7
80,SILTEPEC,7
81,SIMOJOVEL,7
